Image,Link,English,Swedish
Wedding cake,"https://www.brides.com/thmb/jfyHBWikMeTVowZL68mp3vW1lEA=/1197x1388/filters:fill(auto,1)/aef-a1eb0550df2645e581844a61585422ac.png",cake,tårta
Birthday cake,https://cdn.valio.fi/mediafiles/48ec6532-3015-4a25-a0dc-c1f8078decf0/1600x1200-recipe-data/4x3/fodelsedagstarta-med-hallon-och-blabar.jpg,cake,tårta
Raspberry tart,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Raspberry_tart.jpg/1200px-Raspberry_tart.jpg,tart,paj
Apple pie,https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/exps6086_HB133235C07_19_4b_WEB.jpg,pie,paj
Gingerbread biscuits,https://upload.wikimedia.org/wikipedia/commons/f/fa/Freshly_baked_gingerbread_-_Christmas_2004.jpg,biscuit,kaka
lemon cake,https://files.allas.se/uploads/sites/25/2020/04/citronkaka-med-glasyr-2-700x920-1280.jpg,cake,kaka
Lemon tart,https://s3.amazonaws.com/finecooking.s3.tauntonclud.com/app/uploads/2017/04/18182727/051054w-Dodge-Lemon-Tart-main.jpg,tart,paj
Oreos,https://imageresizer.static9.net.au/tPvl31oEOzRCSBjPofR2I8J-Od8=/1200x675/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2Fnetwork%2Fimages%2F2019%2F01%2F06%2F11%2F43%2Fbiscuits.jpg,biscuit,kex
Wienerbröd,https://d2rfo6yapuixuu.cloudfront.net/h65/h7c/8857136431134/07310960016403.jpg_master_axfood_400,pastry,bröd
Semla,https://upload.wikimedia.org/wikipedia/commons/2/2b/SemlaFlickr.jpg,bun,bulle
Cinammon scroll,"https://www.thespruceeats.com/thmb/LztCwx-RV2XEcA9MuOG5Oqf7D44=/1606x1070/filters:fill(auto,1)/quick-cinnamon-rolls-3053776-81543bd7548c4b7fa95b8c51aaec316d.jpg",bun,bulle
Apple pullapart,https://cookinglsl.com/wp-content/uploads/2016/10/apple-pull-apart-bread-2-1.jpg,bread,bröd
Round pullapart,https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/exps9018_FB153741B05_27_4b.jpg,bread,bröd
Brioche,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/brioche-597b5f8.jpg,bread,bröd
